"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DUOX2",-0.143519768985912,9.83120625765157,-4.72610363060933,2.26712434149574e-05,0.28912542842243,2.57956761771967
"B3GALT5",-0.178233823681093,4.02657366194222,-4.63378224242718,3.0684577174044e-05,0.28912542842243,2.33152558693299
"B3GALT5-AS1",-0.165611820220708,2.3396551442453,-4.17115599745851,0.000135999064729967,0.491110447067948,0.953971886280268
"GIPC2",0.206242333619418,1.12239406818281,4.11585302631685,0.00016191773923899,0.491110447067948,0.738091246138139
"IGFBP5",0.161820156419009,4.48853425042517,3.87561078631427,0.000341947274964683,0.491110447067948,0.143986967266818
"TFF3",0.177234795154523,7.74520087317748,3.85203269825606,0.000367629153974095,0.491110447067948,-0.00845758211761716
"ERICH6",0.142074656669596,-1.39129283130688,3.83472797975899,0.000387653156284424,0.491110447067948,-0.278603849602909
"CST2",0.375425740080892,0.591120182880663,3.77322191571325,0.000467698843433416,0.491110447067948,-0.150784580766435
"ANKRD37",0.104834427827238,4.16788670656467,3.7673067989353,0.000476187187995029,0.491110447067948,-0.142584692668595
"GNMT",0.127345792098386,0.930206459360801,3.74019835290639,0.000517024454014916,0.491110447067948,-0.242950780019739
"POSTN",0.345129620762509,1.30115907283834,3.68276335959541,0.000614976390037176,0.491110447067948,-0.365181831458735
"LOC100128317",0.254029841527353,-3.44694880193938,3.67909572534549,0.000621803242280144,0.491110447067948,-0.929538125084418
"SERPINB6",0.0455807519221151,6.72852915029751,3.67593353229405,0.00062774770192416,0.491110447067948,-0.482035071540957
"SLC6A8",0.0892584878745164,6.53649364486223,3.62818365054977,0.00072442647448764,0.491110447067948,-0.604712839266251
"DYNLT1",0.0631480839456167,7.6322341079917,3.61264432923585,0.000758861567867619,0.491110447067948,-0.675831166703976
"DUOXA2",-0.125371315990202,7.56330394960813,-3.59277474351334,0.000805184587301402,0.491110447067948,-0.719597977811099
"LBH",0.0913177497257223,5.44463550331094,3.58297183175381,0.000829025663763791,0.491110447067948,-0.693219450942111
"TNNT1",0.162594807598018,-1.42718529855585,3.54999732487323,0.000914285518848014,0.491110447067948,-0.906916187932074
"CST4",0.365006882284261,0.826414486333181,3.54897391940723,0.000917061579454216,0.491110447067948,-0.715513322188174
"CST1",0.417157548162343,4.41259808120999,3.54766880294045,0.000920613509553903,0.491110447067948,-0.74053609397865
"RAPGEF3",-0.0559034154469238,4.61593655978268,-3.54686297387106,0.000922813179696527,0.491110447067948,-0.749538170732279
"IGFBP2",0.123536968388755,7.36442045872807,3.54481934388271,0.000928414254137951,0.491110447067948,-0.855069811775934
"SERTAD4-AS1",0.0921300987557966,1.19999156971357,3.50904618318167,0.0010318904112757,0.491110447067948,-0.806380955266784
"NGB",0.229727812901733,-2.34746541415581,3.50671286329628,0.00103900959729186,0.491110447067948,-1.08018803808373
