"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZSWIM5",619.713514448326,2.00918433557015,0.464031084578456,4.32984858631911,1.49211901268187e-05,0.0752475618095469
"NES",28.7497525742112,-6.74469576312806,1.53077085014088,-4.40607799822378,1.05259074275437e-05,0.0752475618095469
"KRT16P2",56.3382122665491,-7.03292144778105,1.61489095866244,-4.35504416571023,1.3304009164966e-05,0.0752475618095469
"LOC105447645",6096.85528640755,2.66395177662667,0.603851953235776,4.41159751550313,1.02610722042561e-05,0.0752475618095469
"SLC25A53",46.6004498389837,-3.6229055606129,0.808776391394336,-4.47948975657782,7.4821680539664e-06,0.0752475618095469
"PROX1",10.0133272769152,-9.44118445600262,2.27807260332239,-4.1443738194443,3.40743513650981e-05,0.10002115224719
"IFIT1",764.574458923537,-4.11987392518224,0.983971702098038,-4.18698415452171,2.82685552547788e-05,0.10002115224719
"PRR4",189.126996077794,-6.17425382932049,1.49364707967356,-4.13367649784438,3.57005897372481e-05,0.10002115224719
"LAMA5-AS1",210.759401260811,2.94901961858229,0.699995504701585,4.21291222411419,2.52099050423834e-05,0.10002115224719
"GCN1",7505.51704602038,1.65009614806123,0.406233456841255,4.0619405424946,4.86664737730621e-05,0.122712513618776
"PDE2A",45.9875264006896,-6.57821165829013,1.6455891334089,-3.99748122100388,6.4020068114268e-05,0.146751456136479
"C4orf3",5127.88320832965,-1.83877692585412,0.463895725771959,-3.96377208001702,7.37746922071417e-05,0.155019072000256
"LINC00152",454.046318894027,-4.45062476498827,1.13941051071504,-3.90607662746174,9.38067755736133e-05,0.181949065083743
"ZEB1",129.88561115395,-7.19341066798211,1.86782702136449,-3.85121886861191,0.00011753139876353,0.197570281321494
"LOC100506860",142.252312090437,-5.14354262932533,1.33439481516064,-3.85458829042747,0.000115924544104011,0.197570281321494
"MAN1C1",2401.83419474536,3.18364590237247,0.90458690253324,3.51944726753932,0.000432446993160885,0.201965137345909
"BMP8A",501.268451908714,2.81432969237979,0.750142905700031,3.75172473270739,0.00017562222917666,0.201965137345909
"GBP1",3987.37364210933,-4.10331977249656,1.10235983449831,-3.72230522564713,0.000197412180357806,0.201965137345909
"GBP5",2276.33226779233,-4.98396699831586,1.52792579254933,-3.2619169220255,0.00110661569933792,0.201965137345909
"GBP1P1",140.57397979339,-3.50529931341397,0.994078311467216,-3.52618025459211,0.000421599912635724,0.201965137345909
"AIM2",108.477864803685,-4.98346441127353,1.49396531693517,-3.33572965502103,0.000850758522824125,0.201965137345909
"HSPA7",268.802421651242,-5.42742278032437,1.60388761943909,-3.38391712395814,0.000714595695773896,0.201965137345909
"FCGR2B",184.775462870533,-4.96462755335553,1.50992086621796,-3.2880051295608,0.00100900001040514,0.201965137345909
"NOS1AP",766.135447945148,2.29890310484444,0.653239542673801,3.51923445331356,0.000432794055184889,0.201965137345909
"ADORA1",8.07834656823271,-7.10596509283234,2.17693452586421,-3.26420708037206,0.00109770903155815,0.201965137345909
