"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DUOX2",54368.4957529621,-0.144253343485572,0.0300951590833525,-4.79324076958832,1.6410847313821e-06,0.0305422279357523
"B3GALT5",1056.44083070153,-0.158721248946234,0.0352469123855797,-4.5031249038191,6.69615018963515e-06,0.0623110255896499
"LOC101927691",33.4756710846861,-0.103800176765751,0.0241514040594964,-4.29789408972009,1.72428512402641e-05,0.106968901477519
"PTHLH",248.76761873467,0.20200698166046,0.0481051004091935,4.19928406639089,2.67760236883652e-05,0.124582144216041
"SLC38A8",95.2271187447411,0.225655929598103,0.0545583797994403,4.13604528630848,3.53342488454652e-05,0.13152114105259
"SEC16B",363.413968622062,-0.080779704248281,0.019923402044578,-4.05451358495598,5.02387310146614e-05,0.133570431844838
"LOC80078",126.610392508044,-0.173308182785388,0.0424638948396977,-4.08130680050974,4.47831945213839e-05,0.133570431844838
"CASQ2",27.9900392115358,0.255778244989698,0.0648153911191637,3.94625783433825,7.93821305582513e-05,0.134307348347238
"DUOXA2",13740.1997381694,-0.14469596838279,0.0361405180650752,-4.00370487557062,6.23581489483258e-05,0.134307348347238
"CYP2A7",462.385922790856,0.127619835240519,0.0321730127370072,3.96667344409819,7.28827426397388e-05,0.134307348347238
"PLA2G7",143.496316546351,-0.17792079796863,0.0446958868825017,-3.98069733880336,6.8713393401942e-05,0.134307348347238
"CCDC153",949.664969379833,0.165149725005365,0.0430447335601085,3.83669990138856,0.000124698698113527,0.165769105042204
"C1QTNF1",32.6766168879527,0.185018088481058,0.0480051107547977,3.85413314482494,0.000116140383187988,0.165769105042204
"CAPS",46053.9890487868,0.184911534801956,0.0479672682554045,3.8549523774709,0.000115752159196925,0.165769105042204
"CCL23",10.1438615105584,0.24519324784834,0.0644527624537895,3.80423178950842,0.000142244940347246,0.17648803898684
"FAM183A",2022.2478373532,0.175440776631197,0.0480605626581144,3.65041037657466,0.000261821656739845,0.185562492529334
"DIO1",55.540151821812,0.160445831985113,0.0445734808714135,3.59958048706068,0.000318730969731255,0.185562492529334
"CAPN5",14945.599015145,-0.0636414733472288,0.0174543323165068,-3.6461706006962,0.000266177297844422,0.185562492529334
"MANSC1",1416.00436560183,-0.0815275776023394,0.0221092527351984,-3.6874867992506,0.000226479838716929,0.185562492529334
"TNRC6C-AS1",631.993164496297,-0.0620860599205815,0.0164779678641258,-3.76782261214074,0.000164677650086908,0.185562492529334
"CYP2A6",4178.70313394918,0.124561489879345,0.0345856204174247,3.60153984158658,0.000316337930537859,0.185562492529334
"TNNT1",25.5778737542897,0.145017059895169,0.0401987646600593,3.60750040757484,0.000309161052633745,0.185562492529334
"XDH",3310.21113561146,-0.107971719390342,0.0296172723683354,-3.64556594029157,0.000266803988706726,0.185562492529334
"TNNC1",389.834476181863,0.158768330187894,0.0435518361975751,3.64550255625579,0.000266869762138139,0.185562492529334
"SYNPR-AS1",29.0218430620998,0.136307819852169,0.0378705071122208,3.59931329803033,0.000319058608400337,0.185562492529334
"PROL1",10.1163746902207,-0.476254986163498,0.126965947473782,-3.75104502931263,0.000176099066997145,0.185562492529334
"DDIT4L",255.700389277346,-0.128294870949148,0.0342638210770134,-3.7443246817331,0.000180879625888862,0.185562492529334
"GNMT",115.418126430733,0.126020400932367,0.0338905095822506,3.71845695109783,0.00020044344227603,0.185562492529334
"CAMK2B",33.887451560114,0.189180589957261,0.0510523498423894,3.70561963438129,0.000210874564172091,0.185562492529334
"LOC102724094",260.627651052656,0.170655429735009,0.0472088417932432,3.61490397248921,0.000300458969598158,0.185562492529334
"FRMPD3",13.7973308010965,-0.15122812058232,0.0419939386651544,-3.60118925229096,0.000316764880203876,0.185562492529334
"ABCD1",781.724899807731,-0.0684607683099016,0.0184979185555341,-3.70099847203726,0.000214752769611032,0.185562492529334
"TMCO4",4198.40347306777,-0.0548837168588637,0.0159190599994487,-3.447673220703,0.000565437697066793,0.193744133257583
"CD164L2",1743.39563392388,0.161867928534735,0.0466663082356157,3.46862510995026,0.000523128886317352,0.193744133257583
"TCTEX1D4",1565.45363404637,0.141371386314963,0.0412567630855002,3.42662331560007,0.000611136198667766,0.193744133257583
"LDLRAD1",3193.71659087807,0.148792205777416,0.0435390491196527,3.41744270455953,0.000632123978216149,0.193744133257583
"RIIAD1",260.868853845742,0.181381991391369,0.0532096378227308,3.40881837977638,0.000652449016822655,0.193744133257583
"DPCD",1577.59956412532,0.12055471987956,0.0340326308550186,3.54232737378229,0.000396612919873405,0.193744133257583
"CALHM3",15.9714824037725,-0.220036550234323,0.0632067781380075,-3.48121762754446,0.000499139760525527,0.193744133257583
"LRRC23",5591.12027464029,0.146200362302398,0.0431977991913103,3.3844400649885,0.00071323588562736,0.193744133257583
"RAPGEF3",1251.63187885004,-0.0630392301435036,0.0186133407557945,-3.38677677320655,0.000707189036581951,0.193744133257583
"TPCN1",5792.72790530949,-0.050039524431627,0.0145986360015411,-3.42768491702543,0.000608751553565624,0.193744133257583
"NHLRC4",1344.80870552035,0.179781866236793,0.0519412330410538,3.46125526312968,0.000537662737707417,0.193744133257583
"CD19",213.59830626719,0.150244523292894,0.0434453340963724,3.45824301775686,0.000543710702321316,0.193744133257583
"LINC01571",151.317267891471,0.184886761860065,0.0544442964083343,3.39588853299541,0.000684062111316396,0.193744133257583
"TPPP3",18218.166150403,0.152367252075024,0.043251011721181,3.52285983637247,0.000426917071660242,0.193744133257583
"SPNS3",778.779270619981,0.166842799790905,0.0482420635941977,3.45845072454513,0.000543291644118628,0.193744133257583
"CCDC103",1050.2856226816,0.14018943428829,0.0408941327131545,3.42810630736752,0.000607807399437347,0.193744133257583
"CEACAM6",29511.9803104241,-0.0940002863617166,0.0274570633014781,-3.42353751854651,0.000618117185176857,0.193744133257583
"TMEM190",5468.11067083304,0.212351266230356,0.0622837325022318,3.4094177997882,0.000651016936336901,0.193744133257583
"MORN2",2421.03355953074,0.1179672186249,0.0345635893472432,3.41304884280801,0.000642404275390993,0.193744133257583
"KCNH7",31.8622351212046,-0.219690329765571,0.065003486509193,-3.3796699463882,0.000725729241344089,0.193744133257583
"SLC32A1",8.83169560158738,0.267212872403131,0.0783166512498272,3.41195477767215,0.000644988125033171,0.193744133257583
"CDH26",3501.43287709277,0.168818693652079,0.0475013782392898,3.55397464051777,0.000379455800931639,0.193744133257583
"KCNE1",1654.07663911006,0.119572246327833,0.03420958156937,3.49528526343899,0.000473555335458219,0.193744133257583
"B3GALT5-AS1",360.705316967512,-0.139504557932354,0.0390842918303136,-3.5693254604182,0.000357901572720035,0.193744133257583
"TFF3",16620.2472293921,0.152118753640922,0.0440433255982193,3.45384349557547,0.000552657996826469,0.193744133257583
"RSPH14",667.562448033329,0.157819362520633,0.0458506089928196,3.44203416241098,0.000577357330734124,0.193744133257583
"ANKUB1",653.196268157428,0.146849192103389,0.0432473173781503,3.39556765612429,0.000684864454796739,0.193744133257583
"ERICH6-AS1",196.356176112023,0.113906897606972,0.0337090829191499,3.37911588636731,0.000727193477279837,0.193744133257583
"TCTEX1D2",824.817764351586,0.122204677688937,0.0357998785230891,3.41355006582276,0.000641223757399869,0.193744133257583
"TM4SF19-TCTEX1D2",410.641159437354,0.118648283965512,0.0341805686868271,3.47122030217238,0.000518098756363993,0.193744133257583
"LOC101060498",197.013150071197,0.161358946377724,0.0451409376434745,3.57455903225019,0.000350818657082258,0.193744133257583
"IL31RA",37.0115065730896,0.239825966655632,0.0709758825017099,3.37897829801348,0.000727557512489576,0.193744133257583
"LINC01564",27.7214638428358,0.124936361527851,0.0369134616321331,3.38457451573966,0.000712886660386055,0.193744133257583
"TNS3",683.019145699569,-0.0708585450157894,0.0208745279118498,-3.39449808469994,0.000687545209505794,0.193744133257583
"MORN5",1069.84048418367,0.184615094651672,0.0523117650536623,3.52913143844967,0.000416925999781328,0.193744133257583
"WDR38",4699.8409019213,0.157675036736579,0.0466695538356182,3.37854176390778,0.000728713627856151,0.193744133257583
"SPIN4",780.427935489254,-0.0719974074624996,0.0212747641525636,-3.38416947638989,0.00071393920011939,0.193744133257583
"SLC6A8",6238.43714191886,0.0963988438305271,0.0275562903931125,3.4982518494079,0.00046831867142375,0.193744133257583
"RCAN3AS",76.5974748074878,0.131025029000385,0.0390288141512944,3.35713579440229,0.000787544231153715,0.194548333854014
"UFC1",5885.11547423811,0.0596352780737588,0.0177524098757875,3.35927789472095,0.00078146440506995,0.194548333854014
"PPIAP30",6.15705301744274,0.20549989325222,0.0616275776556438,3.33454438856076,0.000854392627056595,0.194548333854014
"FAM13C",44.8687870211114,0.142977865354571,0.0428688613029051,3.33523823607794,0.000852263502181828,0.194548333854014
"HBG2",10.9984285117584,-0.34618512295168,0.103239604516283,-3.35322015784242,0.000798771423958907,0.194548333854014
"USP2-AS1",129.723527892211,0.158196998975615,0.0471371966957864,3.35609688451746,0.000790508705524212,0.194548333854014
"OR7E47P",547.861728123054,0.172342280610463,0.0516979483585557,3.33363868552709,0.00085717926903601,0.194548333854014
"ALPK3",1320.7558649352,-0.0506610725499742,0.0150599800105301,-3.36395350555255,0.000768344860574833,0.194548333854014
"CTXN1",1520.03213033931,0.162862875761123,0.0485719691762392,3.35302188738096,0.000799343851242921,0.194548333854014
"LKAAEAR1",57.9858174345579,0.239107541469019,0.0714802252716677,3.34508656849173,0.000822568918033063,0.194548333854014
"BDH2",1220.22644279753,0.0453473198336458,0.0135992811238881,3.33453801127694,0.00085441221910309,0.194548333854014
"LOC285629",284.194563584852,-0.1136882663152,0.0340809829738996,-3.33582709167357,0.000850460414268255,0.194548333854014
"SYCE3",24.8169285897841,0.199317128175357,0.0598733322092632,3.32898004538521,0.000871646491976303,0.195448347737
"PRB1",18.5444345110304,0.284443439858375,0.0861654290970121,3.30113182095484,0.00096295627921924,0.20189983813824
"IFT43",1618.8492217703,0.0922397783004524,0.0278990991563668,3.3061919950703,0.000945732612754789,0.20189983813824
"SPEF1",2334.44309835173,0.1686748416415,0.0512114734428667,3.29369241503429,0.000988806376177991,0.20189983813824
"KIF9",1191.38275644569,0.0961923467595889,0.0292282478879837,3.29107468666076,0.000998054113627321,0.20189983813824
"COL6A6",627.164947330352,-0.153161369173696,0.0464158308313899,-3.29976575729238,0.000967655595170527,0.20189983813824
"ERICH6",21.8248079375484,0.111220687926913,0.0336354679726857,3.3066490413403,0.000944191067932107,0.20189983813824
"TLR10",66.1616306386101,-0.185140409077653,0.0562378832771946,-3.29209419503046,0.000994442983394412,0.20189983813824
"FAM229B",1795.61833484049,0.143320165418514,0.0432697754946998,3.31224656887969,0.000925499368935536,0.20189983813824
"PACRG",954.134839023803,0.147115213375484,0.0444442769415518,3.3101047761212,0.00093261053959277,0.20189983813824
"SPTBN5",190.475274897422,-0.0735395775830169,0.0223854734089773,-3.28514730242539,0.00101929067612183,0.203100624316117
"HAGHL",884.795993759797,0.153146306212393,0.0466857522259622,3.28036497026234,0.00103672877921827,0.203100624316117
"IGFBP5",1670.58575350522,0.120532762213444,0.0367143639950651,3.28298652346655,0.0010271357583784,0.203100624316117
"PPOX",2809.07514880667,0.114517362938998,0.0350827042186636,3.26421139673937,0.00109769230751992,0.204291515352532
"NRAV",1181.64585587837,0.0957931640723641,0.0292809828351268,3.27151464183252,0.00106973049158579,0.204291515352532
"LOC102723385",67.4539672698953,0.0801912828601384,0.024556912276617,3.26552792781266,0.00109260230680645,0.204291515352532
"MIR6884",23.7363603393439,0.106096437982733,0.0324587077457824,3.26865871598103,0.00108058553560604,0.204291515352532
"CSN1S1",11.1307664658949,0.26022176103982,0.0795221012185175,3.27231998466389,0.00106668776042116,0.204291515352532
"PHACTR3",69.4231433470741,0.154727548542319,0.0474588864589963,3.26024397298072,0.0011131641610666,0.205119784174362
"CRIP1",9421.04144288852,0.111225459244441,0.034314394983833,3.2413644272861,0.00118959002248103,0.213655315408347
"IFT172",3504.59357305111,0.0963129980321557,0.0297232315503856,3.24032727965295,0.0011939257859582,0.213655315408347
"C9orf116",3446.93512041501,0.145206438624684,0.0448091872091797,3.24055060286692,0.00119299095867147,0.213655315408347
"ENC1",3213.30027033697,-0.050896600497596,0.0157594884595748,-3.22958455334083,0.00123970217574027,0.217661294270775
"C9orf24",5690.52141497741,0.162960600494651,0.0504514829165918,3.23004579992353,0.00123770389240444,0.217661294270775
"VWA3B",1575.24294265825,0.143590820140647,0.0445458696408785,3.22343735341241,0.00126662000752832,0.22030901831878
"FAM92B",3322.45046568427,0.157183955824119,0.0488299777696685,3.21900527101522,0.00128636120649534,0.221671003834118
"SERTAD4-AS1",119.692911016302,0.0768150317278128,0.0239086649618883,3.21285324171216,0.00131423425345524,0.222356488100505
"WDR66",2434.24202164528,0.138052142699077,0.0429517652911209,3.21412034554062,0.00130844820425349,0.222356488100505
"CCDC42B",3959.29558543009,0.113071869010889,0.0352595894516635,3.20684020345433,0.00134201519153642,0.225011213780939
"GAS2L2",1888.49151729144,0.151791087168959,0.047392764895667,3.2028324893709,0.0013608311083745,0.226128819267481
"PRR34",112.963476786451,0.10972133111488,0.0343291539351346,3.19615599388788,0.00139271792340152,0.227912306421808
"MAN1A1",2844.80529999226,-0.074666232624302,0.0233663107943659,-3.19546518410196,0.00139605625340315,0.227912306421808
"C11orf74",531.588609545768,0.108557412563962,0.0340748620842396,3.18585038717362,0.00144329214378113,0.229582137503509
"MORN3",530.156420272486,0.119427551535985,0.0374862422287105,3.18590353248362,0.0014430270489048,0.229582137503509
"ERAP2",1297.34346460814,-0.133551350395783,0.0418903976282901,-3.18811369566926,0.00143204216442651,0.229582137503509
"RAB3B",791.124720659087,0.125305632765161,0.0397238331276845,3.15441947312563,0.0016081775269991,0.231117678346558
"CFAP126",1492.02847956942,0.135594157210488,0.0426614391033339,3.17837747765738,0.00148101797499846,0.231117678346558
"CPM",1621.34917648521,-0.0992134601830265,0.0313636804611416,-3.16332326832459,0.00155979024414246,0.231117678346558
"RRAD",8022.97038036224,0.131069345885959,0.0413780233087539,3.16760771552444,0.00153698760067773,0.231117678346558
"B9D1",1925.78857548653,0.128268366818813,0.0406360882650879,3.15651363837137,0.00159667420349384,0.231117678346558
"COX7A1",210.650270384288,0.151592549080703,0.0480754670358266,3.15322051822676,0.00161479771944135,0.231117678346558
"CEACAM7",1048.82191423508,-0.152991696824286,0.0482090801983276,-3.17350375063977,0.00150610955854242,0.231117678346558
"NAT14",1156.51296503559,0.126821803817515,0.040247372986228,3.15105793018866,0.00162680220640477,0.231117678346558
"CENPM",305.577141595165,0.123303997187506,0.0391160351272455,3.15226215505725,0.0016201074804108,0.231117678346558
"LOC101927416",806.453307825645,0.156497233109547,0.049596040635644,3.1554380370653,0.00160257302433682,0.231117678346558
"C5orf49",3220.59057504791,0.153057179778717,0.048315922143407,3.16784142760281,0.00153575261532397,0.231117678346558
"PRLR",8.78428955113498,-0.240559891801239,0.0757278296759016,-3.17663787316739,0.00148992949963878,0.231117678346558
"STS",2646.699509254,-0.0747792893096837,0.0237261465905623,-3.15176714534122,0.00162285634500549,0.231117678346558
"GJB1",278.314569563543,0.127939771341067,0.0404173125303362,3.16546953103423,0.00154832876899784,0.231117678346558
"LRRC10B",4868.96850888648,0.156331525274231,0.0496989641790832,3.14556908491921,0.00165764040212646,0.231847969733638
"MIR7106",285.323484595707,0.152097843384644,0.0484080548976209,3.14199452356264,0.00167801174415381,0.231847969733638
"ADAMDEC1",152.108690484475,-0.12288251681999,0.0391178793574737,-3.14133891812089,0.00168177292536893,0.231847969733638
"PRR32",55.9928468977295,0.240423875581531,0.0764747777603422,3.14383228853538,0.00166750977286564,0.231847969733638
"FZD5",1682.23606703441,-0.053474670071997,0.0170356362145388,-3.13898872918875,0.00169531968351403,0.23199701933735
"ZNF232",388.332133111717,0.0748371300252917,0.0239146105157135,3.12934764194126,0.00175194900375249,0.233166869699512
"LOC101928710",26.2098406396592,-0.135367087333319,0.04326199765471,-3.12900685755969,0.0017539821480808,0.233166869699512
"C20orf202",45.7935951611968,-0.0931706079780325,0.029770784834741,-3.12959864831333,0.00175045286756034,0.233166869699512
"TBC1D19",250.277607628597,0.0680286828865197,0.0216986286316925,3.13516047678509,0.0017176012383864,0.233166869699512
"MICAL2",2812.79917050903,-0.0654185489981921,0.0210315301724278,-3.11049878263044,0.00186771665596946,0.23610582569808
"SCGB2A1",2062.26923998181,0.11257531148859,0.0361122322914273,3.1173733758717,0.00182470313207747,0.23610582569808
"DNAJB13",787.524179097257,0.139941166897981,0.0450124622025252,3.10894272498007,0.00187758111887141,0.23610582569808
"DRC1",2038.81829558131,0.151732560337898,0.0486297450293428,3.12015948770333,0.00180753144828683,0.23610582569808
"IGFBP2",10674.0054098282,0.101590300046411,0.0326253291992662,3.11384750866195,0.00184664903891434,0.23610582569808
"IL5RA",709.980988528789,0.135007936136274,0.0433928702425177,3.11129306224112,0.0018626997785653,0.23610582569808
"TYW1B",188.413597784422,-0.0679102885017408,0.0218074606462754,-3.11408511074578,0.00184516255590027,0.23610582569808
"LOC100506990",970.201195532967,0.0902136471324234,0.0288849875390723,3.12320187122784,0.00178895000464566,0.23610582569808
"DCDC2B",1127.40309008406,0.130625700327279,0.042107211092394,3.10221686353563,0.00192077191000063,0.237380965699107
"PRR34-AS1",239.099689203457,0.0983858256254493,0.0317032660366044,3.10333407011926,0.00191353504556003,0.237380965699107
"C9orf135",1545.13358923365,0.147943967014573,0.047702097134181,3.10141431724526,0.00192598602012601,0.237380965699107
"TUBA4B",2282.62511995383,0.145185077562758,0.0468800527427799,3.09694782894881,0.00195524281648753,0.238648048811279
"EPPIN",476.881233513676,0.151306171537636,0.0488724778026514,3.09593821186261,0.00196191238880908,0.238648048811279
"DNALI1",4103.08458079164,0.135468321903449,0.0437947134195235,3.09325741227611,0.00197972334507508,0.239250851786964
"CEACAM5",146289.015954023,-0.0899650746880789,0.0291081461349374,-3.09071811962965,0.00199673089928127,0.239749411396927
"ARHGEF10L",3377.13230498838,-0.0512523079513187,0.0166330147626473,-3.08136009512934,0.00206057285274039,0.240591913215412
"PIFO",5660.49105247503,0.148190330681724,0.0482784853321295,3.0694900567459,0.00214424543272143,0.240591913215412
"STOML3",1549.58220495014,0.151997737818619,0.0493373425058199,3.08078485987949,0.00206455764047979,0.240591913215412
"DLGAP1",112.426550988687,0.130411518861612,0.0424147561070641,3.07467331728667,0.00210733239803941,0.240591913215412
"HSD11B1L",378.438972083872,0.106312897972857,0.0346380387085376,3.06925281963649,0.00214594904055443,0.240591913215412
"WDR54",3464.37896130035,0.133035046949447,0.0431213389926564,3.08513255982386,0.0020346144966407,0.240591913215412
"C20orf85",8803.65548971763,0.152556494428154,0.0496283872125009,3.0739764678415,0.00211226093129254,0.240591913215412
"NAIP",779.713699405508,-0.129470612113197,0.0421521814410704,-3.07150443196396,0.00212983002277874,0.240591913215412
"BTN3A1",1890.63177712239,-0.0609645675307805,0.0198149982477994,-3.07668801018193,0.00209314255600482,0.240591913215412
"LRRC73",618.643880897053,0.135218424078069,0.0437954805349701,3.08749721264273,0.00201849664692857,0.240591913215412
"RDH10",41554.3561073323,-0.0521655785855654,0.0169569625483297,-3.07635158342105,0.0020955059580674,0.240591913215412
"MRLN",156.514635050637,0.183502510490679,0.0599151192338976,3.06270792476134,0.00219344033574868,0.240887459306572
"KCNRG",724.430197828509,0.102778216427999,0.0335588373764264,3.06262744668848,0.0021940302528451,0.240887459306572
"SMOC2",85.4144153560094,0.172259972566582,0.0562545363926493,3.06215255893728,0.00219751421753588,0.240887459306572
"PAGE5",9.0607552321077,0.256711769039428,0.0838443626878253,3.06176540449396,0.00220035828714831,0.240887459306572
"ITGB7",742.015975906322,-0.0687007982070185,0.0225168991926837,-3.05107722067438,0.00228021922351787,0.248170526133866
"C1orf194",1930.97325315084,0.15709767690525,0.0517984954454088,3.03286177628107,0.00242246532132778,0.249133834355111
"SPA17",1114.12052901249,0.118510407476474,0.0390935010847826,3.03146058009638,0.0024337369652087,0.249133834355111
"CCDC60",895.899022059665,0.0798939037441182,0.0263305415471367,3.0342673963273,0.00241120611570714,0.249133834355111
"LOC727896",22.7300176921275,-0.106565906526436,0.0349683642777805,-3.04749474925111,0.00230757557574096,0.249133834355111
"PTK6",2454.66979980668,-0.0668443739939372,0.0219952875185648,-3.03903160790774,0.00237339951667496,0.249133834355111
"ANKRD34B",17.7374779085811,-0.171767460001193,0.056640265984156,-3.0326033435161,0.00242454063195747,0.249133834355111
"ECI2",219.232592179522,0.0946334163829224,0.0312204015153512,3.03114027333668,0.00243632034026276,0.249133834355111
"TCP11",93.5072128092597,0.121615387541237,0.0400989083529956,3.03288524641723,0.00242227692801436,0.249133834355111
"DYNLT1",9954.77626264681,0.0548385863181083,0.0180639434538149,3.0358036969235,0.0023989549429772,0.249133834355111
"RPL7",11747.5793289656,0.0377904325586573,0.0124167644063546,3.0435008124433,0.00233842809698257,0.249133834355111
"GLIS3",866.974832968378,0.0762760123323339,0.0251334637603773,3.03483885307454,0.00240664238136419,0.249133834355111
"ACAD8",4228.87084777918,-0.060396345306567,0.0199455434413744,-3.02806215754857,0.00246127456273977,0.250310278071857
"GIPC2",153.912938233928,0.124765520045783,0.0413723419321619,3.0156745840098,0.00256408280516469,0.252687157808925
"ELMOD1",16.8005046830542,-0.218346078856147,0.0724605648243483,-3.01330909282091,0.00258415571187924,0.252687157808925
"CLEC7A",3392.03156677243,-0.123901870855017,0.0411568067419323,-3.01048309291646,0.00260832468783834,0.252687157808925
"C15orf26",627.692032976603,0.138175155472591,0.0458231234615074,3.0154023784228,0.00256638538490792,0.252687157808925
"ADH6",190.68949920448,0.129002368944015,0.0427540113576669,3.01731614993552,0.00255023684776854,0.252687157808925
"PART1",528.246105893495,0.0968712226067146,0.0321929926238309,3.0090778989899,0.00262041918527336,0.252687157808925
"RSPH9",2091.05250199806,0.142110452617007,0.047205334817674,3.01047441281572,0.00260839924051168,0.252687157808925
"LRGUK",302.093660078091,0.117701069789289,0.0390140616254011,3.01688839576388,0.002553838181695,0.252687157808925
