"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NPPB",15.8279069637514,4.94758993720854,0.884195301293705,5.59558496858047,2.19879127760307e-08,0.000410580295266821
"HBA2",6118.58951096719,-0.851940545520097,0.188198929301627,-4.5268086735748,5.98811085353764e-06,0.0372719979893694
"HBA1",2488.33609147716,-0.85137531612281,0.18475750589945,-4.60806889537767,4.06426006291108e-06,0.0372719979893694
"PCDH10",87.175203347397,1.05759786579527,0.245307531843229,4.31131428313076,1.6228704701113e-05,0.064272749283244
"MIR4461",100.222570701472,0.834471630179793,0.194139204437072,4.29831590481395,1.72100758537043e-05,0.064272749283244
"LCE1E",12.1629817565983,1.30245911324029,0.310303071364636,4.19737744622506,2.70023693442779e-05,0.0840358737942836
"HCAR2",4645.43761444866,0.3991882825759,0.100321312012696,3.9790975074706,6.91773668122395e-05,0.184535567212135
"HBB",9746.40804872946,-0.767302812606731,0.200373215275707,-3.82936816954776,0.000128472682803363,0.239897040598719
"CCL3L3",862.733641797271,0.780068808248368,0.203264029248077,3.83771201984941,0.000124185998246625,0.239897040598719
"CCL3L1",877.632271216518,0.781509919825761,0.203404477292412,3.84214708657701,0.000121962707612737,0.239897040598719
"FCGR3B",5052.17438693096,0.647121049450045,0.171081772090092,3.78252482157638,0.000155245606700421,0.244496052049845
"LOC105747689",149.262094656906,0.496499480221596,0.132063386103191,3.75955436909397,0.000170216284295399,0.244496052049845
"ALPPL2",146.133160286439,0.316081889453774,0.0838021397778161,3.77176394650302,0.000162097568220452,0.244496052049845
"MLLT11",106.731797320226,0.12994456908852,0.0350615403804745,3.7061854008241,0.000210404302772702,0.261925303044978
"CCL3",766.066533562913,0.647681700472051,0.174430393257967,3.71312412002755,0.000204716423253775,0.261925303044978
"RGS2",4933.63325118432,0.513133134253313,0.144820664583829,3.54323145614545,0.000395255634691215,0.335482203026775
"SLC2A14",220.71741967152,0.624462847666185,0.173811033783793,3.59276873321499,0.000327182949525209,0.335482203026775
"LIN7A",27.4885902187591,0.773405853220836,0.215245306987199,3.59313689132758,0.000326720830939273,0.335482203026775
"BCL2A1",2520.57231846814,0.574883269685126,0.161704269598574,3.5551520755281,0.000377760529918546,0.335482203026775
"PTX3",33.1265091807054,0.76091046456669,0.214407320677355,3.54890151214438,0.000386841738308534,0.335482203026775
"CXCL8",20939.2944358175,0.586128881697703,0.164067128407828,3.57249430392138,0.000353597176635767,0.335482203026775
"IL6",38.3557925148532,0.811285374811219,0.227537249453156,3.5655057655878,0.00036315517772838,0.335482203026775
"MME",623.577903737556,0.654711338860262,0.186641847205304,3.50784858092454,0.000451746094333642,0.351477284145504
"SRSF12",34.3680358741231,0.294765778859384,0.0839946828545754,3.50933855384309,0.000449222691033526,0.351477284145504
"AURKA",236.542206602012,0.134928544485561,0.0392602055107049,3.43677631663877,0.000588681548454488,0.439698022171626
"PTGS2",5736.51527779824,0.475959717770379,0.139653525190419,3.40814681993458,0.000654056926757813,0.467084583324869
"IGSF10",390.241365343005,-0.33411028616762,0.0982855045967787,-3.39938516405166,0.000675375341389785,0.467084583324869
"XIST",4940.40213794079,0.875893398607308,0.262015869600726,3.34290209193069,0.000829071459857205,0.552901834639771
"LINC01093",15.1629171457222,0.850140934130353,0.255241655475884,3.33072958857484,0.000866187012882119,0.557734830743028
"HCAR3",5201.78698163912,0.521477220100126,0.158909798282192,3.28159261252151,0.00103222620585363,0.584083634603175
"LRCOL1",9.83476732098655,-0.582485060730444,0.177324136470826,-3.28486055154864,0.0010203285736862,0.584083634603175
"NLRC4",84.0566823099128,0.40883901272028,0.124560151955118,3.2822616727988,0.001029779946407,0.584083634603175
"OXTR",180.324163981974,-0.484791397519227,0.146984638254648,-3.29824533553863,0.000972910878119344,0.584083634603175
"TREM1",2908.89456904374,0.565233893089987,0.172797194283054,3.27108258577447,0.00107136618489419,0.58840061089792
"CCL4L2",941.557275370263,0.592140927538194,0.181832279031161,3.2565226080498,0.00112785948229797,0.601729146084283
"CLEC4E",316.731598482686,0.526295596946441,0.162642281271894,3.23590884750697,0.00121256098586449,0.607139272162362
"CCL4L1",897.464298316635,0.587411579894422,0.181278354577487,3.24038455260434,0.00119368597782569,0.607139272162362
"TSIX",3119.56140627475,0.820359832136128,0.253938495040611,3.23054538070304,0.00123554288770791,0.607139272162362
"HSPA6",877.510512334832,0.469541094207704,0.146634578514125,3.20211711975203,0.00136421520084235,0.609640417643943
"UBE2D1",1463.05295118506,0.143194330760492,0.0445247034408097,3.21606478414508,0.00129961490490363,0.609640417643943
"WBSCR27",538.050644686071,-0.318346462053398,0.0994633658525876,-3.20064034958571,0.00137122570240698,0.609640417643943
"KIAA1456",499.799781713158,-0.233349771247388,0.0726729913922348,-3.2109559105382,0.00132294230510032,0.609640417643943
"SRGN",8959.55615588434,0.48877905713389,0.153568150024421,3.18281529767834,0.00145850621169708,0.633364802116734
"HAL",239.823260222008,0.439415490425269,0.138570559855685,3.17105950125986,0.00151884029036617,0.644575107772899
"OGFRL1",1145.55922700428,0.175586217871602,0.0563388671007155,3.11660895767946,0.00182944061944602,0.759136548598121
"GPR65",486.222947857992,0.46328319887701,0.149138375807795,3.10639831208887,0.00189381431303288,0.764510061719842
"OSM",6223.03706250679,0.589204709665775,0.189963236405711,3.10167757095584,0.00192427424092715,0.764510061719842
"FMO1",22.5113764202062,-0.44213699432281,0.142912444900372,-3.09376132100346,0.0019763641419106,0.768846825456178
"PHACTR1",340.587902947318,0.453199188754842,0.146842103427653,3.08630275769734,0.00202662353958016,0.772309007236334
"KIAA1211L",2242.85823631888,-0.176056409649324,0.0572465374135823,-3.07540713558603,0.00210215380145771,0.785070358692395
"LINC00441",20.7518320058147,-0.318681396503206,0.103888772783086,-3.06752489192066,0.0021583948344544,0.790268759681706
"PDE4B",1729.65317609034,0.480509109801752,0.169536592001193,2.83425014110448,0.00459333619533262,0.795408842857245
"GBP6",785.252990195399,-0.231253910376697,0.0776713173751505,-2.97733987515296,0.00290761483120715,0.795408842857245
"PALMD",261.8683165773,-0.259113297876472,0.089253958339268,-2.90310147244722,0.0036948689810254,0.795408842857245
"LOC643441",9.56672696860888,-0.372529030187462,0.128968981642933,-2.88851649010345,0.00387063733402816,0.795408842857245
"LCE6A",16.3767160122611,1.49191434756671,0.506903655018975,2.94319114252758,0.00324847782238315,0.795408842857245
"S100A12",588.501019077961,0.441099575285432,0.153962840624579,2.86497425934744,0.00417043140844536,0.795408842857245
"MNDA",1700.20823555776,0.501408302347029,0.168711486868648,2.97198674289087,0.00295879459705681,0.795408842857245
"LINC01032",4.8819355582878,0.621428050464882,0.204641362798854,3.0366688433154,0.00239208096969608,0.795408842857245
"CFHR3",6.69629877967823,0.689900394327971,0.238346935827656,2.89452176900157,0.00379736578073399,0.795408842857245
"G0S2",10910.6152129163,0.481523464820344,0.170748833690082,2.82006883686441,0.00480133485340066,0.795408842857245
"NRIP3",382.935996091576,0.210775808409291,0.0746908542157131,2.82197613914756,0.00477287282481617,0.795408842857245
"SNORD97",16.7768810311908,0.290621090398838,0.10247456714438,2.83603140269304,0.00456779544754059,0.795408842857245
"RBM14",3141.646607759,-0.116299323808405,0.0390209765727955,-2.98043088674223,0.00287843182919353,0.795408842857245
"WNT5B",259.830837457312,-0.202890216838044,0.0722765861635863,-2.80713613643615,0.00499841129256568,0.795408842857245
"AKAP3",96.4587052964469,-0.210368441758996,0.0751338702725823,-2.79991488520143,0.00511160826556362,0.795408842857245
"CLEC4A",290.390668949795,0.347979716934802,0.120788338385409,2.88090490842317,0.00396535255199929,0.795408842857245
"CLEC4D",61.6073534758842,0.57243161259054,0.192836693127263,2.96847868166232,0.00299277861260591,0.795408842857245
