"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR4461",96.8015458850138,1.74141799951494,0.277082175522671,6.28484310197881,3.28184967637534e-10,6.18464571512932e-06
"ADRA2B",90.9877391527127,0.97055006829385,0.202606772053141,4.79031405741605,1.6652047301425e-06,0.0156903915697677
"MTRNR2L2",1263.55551209279,1.13089822605256,0.25572565264181,4.42231045016271,9.76510077158771e-06,0.0613411080135235
"COL7A1",720.752987286949,-0.692640824177988,0.161383847171997,-4.29188445011969,1.77163140271969e-05,0.0834659844606312
"DCT",34.3424337432638,-1.14257843701345,0.279233936281823,-4.09183229025672,4.27978132276595e-05,0.100815598784405
"CCL3L3",837.218161961087,1.40569321968477,0.342663681385408,4.10225330563625,4.09145990488457e-05,0.100815598784405
"CCL3L1",852.814961109341,1.41229561940355,0.342589661570601,4.12241167152822,3.74926391899321e-05,0.100815598784405
"SCGB3A1",1466.74229195192,-0.914696603736336,0.219377004497911,-4.16951906983052,3.05243075862641e-05,0.100815598784405
"SNORD55",20.3197113790165,-0.48475635321862,0.119730028695955,-4.04874498484939,5.14930149053002e-05,0.107820651765598
"INHBA",37.4071059522027,1.40123331294407,0.359820821020794,3.89425300339441,9.85018007728112e-05,0.176863653486448
"PCDH19",115.670713588323,-0.69637537293976,0.17934620054868,-3.88285545391715,0.000103236942868184,0.176863653486448
"LINC00189",19.5002570479121,1.5094262998947,0.392536043632649,3.84531898249649,0.000120395716375733,0.189071439591724
"OXTR",171.491949380692,-1.0138570480025,0.269213313584442,-3.76599891923431,0.000165884508838092,0.240468736081065
"CCL3",775.852675951848,1.0552022386548,0.288673609965647,3.65534708482834,0.000256834261817719,0.302502603997182
"DSG1-AS1",9.61639560758479,-1.17582178000113,0.321248989166845,-3.66015713559319,0.000252060625962689,0.302502603997182
"UCN2",16.2297421411925,-0.932023793659606,0.253418358027665,-3.67780693124789,0.000235247913570381,0.302502603997182
"LRRK2",1845.76031588661,0.941077128728553,0.270532129536864,3.4786150182591,0.000504012092989265,0.339218139013668
"SLC24A4",54.8693942599512,1.01624014561249,0.284084032174527,3.57725190618305,0.000347225516891061,0.339218139013668
"TEPP",26.0562252783947,-0.809614794428194,0.228781543970933,-3.53881165576475,0.000401932516081053,0.339218139013668
"CCL4L1",860.666698391683,1.05219955451747,0.302470149632038,3.47868890797155,0.000503873154988243,0.339218139013668
"CCL4L2",902.877003472763,1.0564759363064,0.303188440634545,3.48455216199964,0.000492961365309888,0.339218139013668
"TBX2",10.5060792028484,-0.989453606759888,0.280452200508413,-3.52806504982373,0.000418609271765034,0.339218139013668
"RNF165",53.7512273880395,-0.759761075938703,0.213185970562558,-3.56384181348255,0.000365466249120401,0.339218139013668
"LGALS7",2228.93094913906,-0.722226695558076,0.202349761412247,-3.56919963985866,0.000358073488227337,0.339218139013668
"KCNH7",31.8622351212046,0.984507951802372,0.280811974461516,3.50593294210569,0.000455009839634238,0.339218139013668
"SOX10",21.6520259454397,-0.789431707598224,0.225084617722302,-3.50726635869976,0.000452735729729571,0.339218139013668
"PGM5",29.651377493157,0.842319357675519,0.241172352813438,3.49260330982925,0.000478336525288844,0.339218139013668
"DOCK11",314.007447666804,0.843269815345185,0.241326707017401,3.49430788563481,0.000475292546226884,0.339218139013668
"BEST4",445.561023353556,-0.68821516007022,0.218014650887624,-3.15673812410416,0.00159544560099551,0.416581304809208
"SLC1A7",4.53302401745957,-1.61853901220724,0.494438960361177,-3.273485995167,0.0010622965470576,0.416581304809208
"SCARNA2",22.3644334691884,-0.739138814564281,0.22563604431683,-3.27580115491836,0.00105362714762936,0.416581304809208
"FCGR1A",284.758668611876,0.612927021009797,0.194334700712041,3.15397620066843,0.00161062219990222,0.416581304809208
"CD84",218.286257633852,0.49443222736303,0.151401538639591,3.26570147044554,0.00109193298327437,0.416581304809208
"RCSD1",458.16456023294,0.620323450356617,0.1947213288147,3.1856985268775,0.00144404988769448,0.416581304809208
