"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC100288069",677.955552799868,-1.68690665470787,0.570218306533918,-2.95835232818421,0.00309288392224813,0.274326302529113
"AGRN",17043.7784104556,0.777570653725755,0.260541063140092,2.98444569295266,0.00284092626756319,0.274326302529113
"TNFRSF8",117.087708167431,-3.07233627801035,0.937537761621781,-3.27702670097867,0.00104906448241268,0.274326302529113
"RHD",64.3968804614927,-1.67202437673327,0.555647637696382,-3.00914511877561,0.00261983945930371,0.274326302529113
"CLSPN",61.0824669276189,-1.53137305347753,0.501877416892191,-3.05128902384242,0.00227861119833626,0.274326302529113
"SMAP2",6919.26260292705,-1.45305530895584,0.482242578313828,-3.01312114338075,0.00258575674476821,0.274326302529113
"SVBP",408.326946076695,-0.489603167186019,0.150925139115674,-3.24401335691842,0.00117858219368026,0.274326302529113
"PLK3",2014.68299110517,-1.8697808549015,0.564540807388607,-3.31203843979062,0.00092618818788775,0.274326302529113
"BTBD19",145.041859102064,-2.6610996380987,0.814473746632875,-3.26726263320332,0.00108592887881418,0.274326302529113
"GBP1",3987.93039909368,-1.55750956844642,0.534807813281376,-2.91227900895864,0.00358801987289827,0.274326302529113
"C1orf162",167.856826453955,-1.92139066670872,0.570060363496952,-3.37050387948782,0.000750308495307023,0.274326302529113
"FAM212B",675.202842876066,-1.97696389018418,0.633212469333984,-3.12211775024513,0.00179555107435158,0.274326302529113
"CASQ2",30.4767919346454,-3.07649771538636,1.05935770374716,-2.9041160549493,0.00368291613371534,0.274326302529113
"FAM72D",20.2440190689936,-1.52031117344621,0.504262607997931,-3.01491950688608,0.00257047463507352,0.274326302529113
"FAM72C",35.7753651631962,-1.30816995341365,0.382742485272331,-3.4178854027215,0.000631096730474161,0.274326302529113
"PLEKHO1",864.597131054968,-1.38616693185846,0.468447489541158,-2.95906577109893,0.00308573235435865,0.274326302529113
"ADAMTSL4",731.197143686436,-2.1860538712359,0.685567679353992,-3.18867697102614,0.00142925494364184,0.274326302529113
"ADAMTSL4-AS1",137.164354017529,-2.04614487144684,0.680117462914801,-3.00851688571209,0.00262526212758774,0.274326302529113
"IL6R",2226.20127764982,-1.78774124519775,0.609613345262808,-2.93258219999603,0.00336155922615575,0.274326302529113
"CD1D",52.0431884695802,-1.75990192331441,0.591391318860529,-2.97586702271065,0.00292161517027169,0.274326302529113
"AIM2",108.527403522796,-2.10721641218674,0.702658585505918,-2.99891932675886,0.00270939036542426,0.274326302529113
