"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYL7",63.9044745546531,2.09309037828316,0.307087808824842,6.81593445957025,9.36529881289786e-12,1.63068582930178e-07
"RPS6",23319.0222717176,0.0938141759334751,0.018037567812965,5.20104356120805,1.9817264325561e-07,0.00172529103218334
"RYR2",58.2416726385427,0.525847571555808,0.103064958229497,5.10209852688139,3.35907784798674e-07,0.00194960878297151
"ANKRD37",949.042382329515,0.215708012040384,0.0432851593851235,4.98341729832048,6.24710212580096e-07,0.00217549084428892
"LOC100506990",939.833357231713,0.220757909698953,0.0442132051546026,4.99303113011185,5.94389724949425e-07,0.00217549084428892
"PPP1R7",3096.70895958576,0.0770280323604721,0.0158935712545903,4.84648988742699,1.2566499038292e-06,0.00364679802091235
"DYNLT1",9773.40648139577,0.134850947437754,0.0282203590217118,4.77849864822784,1.76608950304773e-06,0.00439302148958101
"HSPB11",1345.55769024473,0.146938595549219,0.031900777373764,4.60611331904611,4.10264876277014e-06,0.00875985299258506
"TFF3",16751.2575855551,0.331224883905019,0.0725814245660627,4.56349383999128,5.03092866562431e-06,0.00875985299258506
"FGFBP2",44.7468348513467,0.264356026844671,0.0577744615842689,4.57565539505869,4.74731431909092e-06,0.00875985299258506
"LOC400684",47.5908732483817,0.246959209723158,0.0556087234304223,4.44101562648087,8.95352920405205e-06,0.014172622772814
"RPL21",12679.5007065214,0.10183059460741,0.0235602798589512,4.32213009425362,1.54530022670822e-05,0.0207211311522772
"RPL21P28",12679.365931092,0.101827327286343,0.0235608952161822,4.32187853441179,1.54706354801059e-05,0.0207211311522772
"DES",104.20533953408,0.784990657119308,0.183132731471083,4.28645742797354,1.81544973895305e-05,0.0218453415896386
"TBCA",1824.30031598869,0.0829544094845582,0.0193888548303261,4.27845843452339,1.88192122584757e-05,0.0218453415896386
"FAM86B2",120.511503447346,0.217623049434304,0.05113218599022,4.25608733950722,2.08035466474912e-05,0.0226394596391323
"LY6G5C",177.714915452221,0.201095935489074,0.0479901478483105,4.19035874039622,2.78513762401562e-05,0.0285263625349177
"RPS3A",14467.7324169922,0.100916869297894,0.0242793271682918,4.15649365397939,3.23169144290819e-05,0.0312612285577319
"MEAF6",2504.60959306564,0.0635931324709799,0.0153606922019911,4.13999132556908,3.47318954715728e-05,0.0318290402079487
"CASQ2",30.4719808645348,0.507029028414838,0.124184754867101,4.08286048442458,4.44847314596303e-05,0.0354262548523623
"COL4A2-AS1",21.2169372696616,0.250832859473059,0.0617734869049424,4.06052615839935,4.8962250982864e-05,0.0354262548523623
"MED31",779.369328342346,0.09659471877646,0.0238117641172162,4.05659649158966,4.97929967292659e-05,0.0354262548523623
"DPY30",1729.21437738846,0.107040013017002,0.0264190797598086,4.05161776981504,5.08647123425831e-05,0.0354262548523623
"FZD5",1670.28238366672,-0.1064952097632,0.0260465719078543,-4.08864591240458,4.33898582651712e-05,0.0354262548523623
"TM4SF19-TCTEX1D2",395.926779877506,0.232903698640942,0.0571953649265436,4.07207295451409,4.65965788300781e-05,0.0354262548523623
"UFC1",5811.17315898867,0.12062944559837,0.0299629046074651,4.02595967175744,5.67434141782986e-05,0.0380006279874052
"SLIT1",197.429313459132,0.242401638567942,0.0607842999203722,3.98789883054489,6.66610779476008e-05,0.041182972921065
"LOC100288798",209.200200032773,0.218907985288503,0.0550981295458474,3.97305656458534,7.09561904222347e-05,0.041182972921065
"SERPINF1",5921.04713221205,0.204375491352117,0.0512072072153524,3.99114699797266,6.57545061865241e-05,0.041182972921065
"CYP3A5",1755.93457760282,-0.263447540654799,0.066193627963761,-3.97995318822876,6.8928839998427e-05,0.041182972921065
"SQLE",1854.74841600579,0.163207826637979,0.0413525403774161,3.94674245278318,7.9221694696535e-05,0.0444970370340667
"DYNLL1",13503.6700598187,0.140391901707202,0.0359106323813749,3.90948007309436,9.2494984629611e-05,0.0473683138932584
"GTF2H5",981.902351429034,0.0989880261120168,0.0253074532423321,3.91141791962054,9.17558403904637e-05,0.0473683138932584
"RPL7",11794.3672837006,0.0796998753273693,0.0203253235890368,3.92121065026283,8.81051994062427e-05,0.0473683138932584
"TRIB3",284.954713091612,0.176660974792836,0.0453131218447984,3.89867145763905,9.67219021262547e-05,0.0481177645663528
"RPL22",6834.22147564438,0.0886237199280467,0.0228385618677477,3.88044222929815,0.000104266709642945,0.0493135389517837
"CCDC60",881.263061385817,0.171824456137069,0.0442935025221415,3.87922486037713,0.00010478985419343,0.0493135389517837
"RPL26",7935.9322160089,0.0938998052784587,0.0242743822647614,3.86826755277604,0.000109611357404788,0.0502250777666361
"MYLK3",71.9749151252461,0.312907278642549,0.0810551164720011,3.86042599483077,0.000113189519051335,0.0505347668133806
"ACYP1",199.863645780617,0.138565930995398,0.0360120162410811,3.84776931310299,0.000119198212371558,0.0518869818453393
"FAM86B1",202.01541918757,0.180477995087523,0.0469886111170749,3.84088805344452,0.000122590014305901,0.0520618860754719
"N6AMT2",204.35787832071,0.133832814663694,0.0351710228677946,3.80520109314882,0.000141689029034753,0.0582064103949721
"TCTEX1D2",796.816051288633,0.231532242064124,0.0609033305127338,3.80163515057218,0.000143744293991718,0.0582064103949721
"RPL31",11503.2102233076,0.115822604412286,0.0305317508671377,3.79351334668951,0.000148530643483355,0.058777626462095
"LAMTOR5-AS1",47.1519171489067,0.177128967752537,0.0469601668385227,3.77189817833513,0.000162010370555718,0.0592809019212747
"DKK3",157.005849281629,0.380715695458479,0.100844259104814,3.77528377756015,0.00015982560892393,0.0592809019212747
"CALM2",18063.5004030293,0.0943772240724999,0.0249487968755921,3.78283668519627,0.000155051153189563,0.0592809019212747
"SNHG6",1020.16486851332,0.122801871937357,0.0326056491491928,3.76627594118603,0.000165700650575638,0.0592809019212747
"FAM104B",501.181253012415,0.145731878203014,0.0387112655111942,3.76458574212389,0.000166825418914683,0.0592809019212747
"ARL3",2766.7975990285,0.133750142445123,0.0356480809134124,3.75195912425121,0.000175458076326108,0.0611015204998038
"MORN2",2332.73302290657,0.21977518734497,0.0587662982356456,3.7398167647671,0.000184154447717541,0.0628724949736828
"MIR4426",5605.32315912153,0.100016342061887,0.0270082454328618,3.70317806502876,0.000212915324967825,0.0650400287428029
"LRTOMT",2893.19685173602,0.148593690230554,0.0400975247044522,3.70580706230117,0.000210718666073586,0.0650400287428029
"SLC38A8",100.264795975952,0.350443277538672,0.0941825971546355,3.72089205570844,0.000198520286232945,0.0650400287428029
"ERICH6-AS1",193.099381011583,0.213491345464614,0.0575996905789162,3.70646688061829,0.000210170705657027,0.0650400287428029
"SLC34A2",2740.79378024536,-0.265333218353643,0.071278834613494,-3.72246852508741,0.000197284507973128,0.0650400287428029
"MRPS33",1050.30605675867,0.126391050236903,0.0340886430804265,3.70771725758355,0.000209135972028251,0.0650400287428029
"SCGB2A1",1991.26180126401,0.227220487896454,0.0615029997638478,3.69446187615091,0.000220352949897978,0.0651351580657165
"RAB30-AS1",172.459250133937,0.09420397683987,0.0255250746685932,3.6906445157546,0.00022368656134028,0.0651351580657165
"RPA3",1291.24660028484,0.145816333570596,0.0395189914450201,3.68977871749232,0.000224449200777796,0.0651351580657165
"MCMDC2",227.859140372503,0.117320223021671,0.0319240575662701,3.67497843211596,0.000237869508154246,0.0678980963275694
"RPL5",11206.2333228465,0.0684410557295437,0.0187804355468583,3.64427414682579,0.000268147484818487,0.0753061936396693
"HRNR",68.1014300786212,-0.369617869156493,0.101810699163898,-3.63044230313626,0.000282935949140423,0.0762906460449976
"FFAR4",25.961367510245,-0.274172951369406,0.0756618775549641,-3.62366042489805,0.000290462903649811,0.0762906460449976
"FADS2",1044.09092552356,0.272134917070369,0.0752197378563965,3.61786579993017,0.00029704233860759,0.0762906460449976
"HS3ST3B1",311.508882334549,-0.20814073256667,0.0576618217300294,-3.60968013707887,0.000306574812286071,0.0762906460449976
"TMEM97",817.494161978055,0.0892920386634744,0.0245859262499793,3.63183545560134,0.000281412542145183,0.0762906460449976
"ANKRD36B",1491.95659382481,-0.206173643316057,0.0571527937716599,-3.60741146162992,0.000309267019196116,0.0762906460449976
"LOC101927416",778.231683477575,0.296829007929119,0.0823178490912043,3.60588877389455,0.000311086369698761,0.0762906460449976
"C6orf223",375.227413362225,0.239366773107964,0.0661860554206275,3.61657408931131,0.000298527899050421,0.0762906460449976
"IDNK",352.07568812351,0.136132220832435,0.037694697145104,3.61144222245374,0.000304498927539287,0.0762906460449976
"SAMD13",53.7750000872576,0.166596688518142,0.0463938295689624,3.59092340653844,0.000329508467600719,0.0791733221903553
"DPCD",1554.03176795399,0.211016338009262,0.0590336917157661,3.57450689388118,0.000350888568019205,0.0791733221903553
"MIPEP",2265.81849501755,0.135732135850176,0.0380376382893061,3.56836391412702,0.000359217347406275,0.0791733221903553
"CCNB2",155.119276814087,0.199102700563591,0.0556240253317301,3.57943711150325,0.000344335098235311,0.0791733221903553
