"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DUOX2",-0.128906217648953,9.83120625765157,-4.62007436734625,3.20797856197316e-05,0.346829791993646,2.21435776930242
"B3GALT5",-0.160210931247618,4.02657366194222,-4.57792849778237,3.68086804981317e-05,0.346829791993646,2.1752783194127
"B3GALT5-AS1",-0.1477623754326,2.3396551442453,-4.10221735546462,0.000168972669399562,0.418018717592144,0.791855722496204
"GIPC2",0.186341667291105,1.12239406818281,4.07561360457604,0.000183690836109032,0.418018717592144,0.682424445769731
"IGFBP5",0.152590002781194,4.48853425042517,4.04002393055321,0.000205339652815905,0.418018717592144,0.582223998413554
"TFF3",0.164397812502005,7.74520087317748,3.93421848520545,0.000285340409391896,0.418018717592144,0.176905044768054
"ANKRD37",0.0976336551925295,4.16788670656467,3.88491388591921,0.000332233294461959,0.418018717592144,0.155384171455791
"ERICH6",0.129031339905083,-1.39129283130688,3.81607109119911,0.0004103442516572,0.418018717592144,-0.212877310807315
"LOC100128317",0.236288859449662,-3.44694880193938,3.78861884142505,0.000446200925189632,0.418018717592144,-0.54743183633407
"TNNT1",0.155748059067289,-1.42718529855585,3.77742196070675,0.000461677141462987,0.418018717592144,-0.295295057521786
"CST2",0.346944696063936,0.591120182880663,3.77733709936404,0.000461796388574224,0.418018717592144,-0.111060382612088
"DYNLT1",0.0593888075565448,7.6322341079917,3.76320343242644,0.000482076702818379,0.418018717592144,-0.311060037655442
"DDIT4L",-0.118933908884561,1.9500127867852,-3.75265058671227,0.00049777569972953,0.418018717592144,-0.159598201314629
"GNMT",0.115923617978203,0.930206459360801,3.74440366405756,0.000510385918044391,0.418018717592144,-0.198323873441555
"SERPINB6",0.0416426972372422,6.72852915029751,3.68880345435231,0.000603789131694289,0.418018717592144,-0.499067087845643
"IGFBP2",0.115143350158248,7.36442045872807,3.64288978537996,0.000693110832225359,0.418018717592144,-0.640596714882203
"LBH",0.0839784674243006,5.44463550331094,3.61536525344871,0.000752602336736367,0.418018717592144,-0.651393328202337
"CST1",0.389934743057176,4.41259808120999,3.61375625193406,0.000756227514927745,0.418018717592144,-0.596690366653503
"DIO1",0.164574444802344,-0.410824964652581,3.60454474555391,0.000777306222444413,0.418018717592144,-0.62186339206847
"POSTN",0.309978221574313,1.30115907283834,3.59131841091203,0.000808559882106442,0.418018717592144,-0.58265935967707
"SLC6A8",0.0809211929881372,6.53649364486223,3.59116398446366,0.000808931808987891,0.418018717592144,-0.75710890828356
"SERTAD4-AS1",0.0852478353110175,1.19999156971357,3.58734599641502,0.000818179527124579,0.418018717592144,-0.594607375735626
"ERICH6-AS1",0.1283296146433,1.68537190475188,3.58363274854991,0.000827270694109607,0.418018717592144,-0.60134189093725
"IFT43",0.0960598177292242,4.88926075257235,3.57314753179615,0.000853467318692089,0.418018717592144,-0.739618730783304
"UFC1",0.0639136199142166,6.89750427919462,3.56617604253967,0.000871323038596714,0.418018717592144,-0.84423674899925
"CIB1",0.0701048641913194,8.53365577178385,3.56234325562669,0.000881291635068014,0.418018717592144,-0.885474009435518
"CST4",0.336637653785598,0.826414486333181,3.55711399577714,0.000895068590430915,0.418018717592144,-0.675353694620553
"XDH",-0.0923011848656658,5.8207383653916,-3.53207361759231,0.000963947412887008,0.418018717592144,-0.886571500818111
"DUOXA2",-0.112254260878369,7.56330394960813,-3.52421857567611,0.000986579896031998,0.418018717592144,-0.964869041771523
"NGB",0.211180097718246,-2.34746541415581,3.52349794019364,0.000988681508182634,0.418018717592144,-0.950570940940366
