"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRDM6",-2.28889666307646,1.0299845952727,-4.52306981035884,4.41281776757444e-05,0.831595508299403,-3.82115682666548
"UCN2",-2.41789419669433,-2.48232431665735,-3.63096035872085,0.000719394500859774,0.991925032723052,-4.45889334961235
"TNNC2",-1.33082004510367,0.858408283514682,-3.57152616886819,0.000858807853496711,0.991925032723052,-4.28610397457721
"DCT",-2.89559914478752,-2.10092032785952,-3.53906640831461,0.000945522539996737,0.991925032723052,-4.46291642487945
"LOC101928402",-1.50185008278646,-2.0859269840665,-3.43872868382741,0.00126972192259723,0.991925032723052,-4.45530689760648
"MYLPF",-1.16861845273454,0.701815052834316,-3.39849246608382,0.0014274913186005,0.991925032723052,-4.32419217557969
"SNORD55",-1.09775123031795,-1.42439403925803,-3.38529571050691,0.00148318434150747,0.991925032723052,-4.42972113706965
"TBX2",-1.910123411262,-3.14246933773639,-3.22253849472576,0.00236390580049866,0.991925032723052,-4.49511563315799
"GPA33",1.3533475537536,-1.06898624158285,3.22049590979583,0.00237760557498139,0.991925032723052,-4.37509563155908
"LGALS7",-1.38819596024416,4.45960024986813,-3.17950181046363,0.0026689535096491,0.991925032723052,-4.03719697210148
"UBAC2-AS1",-1.37602866103579,0.685997464442321,-3.15849864262808,0.00283098334516192,0.991925032723052,-4.35939255640491
"SPP1",1.83292622914372,-0.232078814056493,3.15461822958891,0.00286191705234223,0.991925032723052,-4.33512613766713
"RNASE1",1.07006333567275,5.26891220658362,3.14952209646635,0.00290302668824856,0.991925032723052,-3.85793422509178
"CASC9",-1.7621643394841,-1.32773757560705,-3.14881108591962,0.00290880636499935,0.991925032723052,-4.45424118830935
"S100A2",-1.2852529217222,7.43676449461951,-3.10167915205269,0.00331706754469883,0.991925032723052,-3.79778247810388
"NCKAP1L",0.870087816752808,3.06754820779109,3.08743548430452,0.00345069291741534,0.991925032723052,-4.098357634757
"LOC100506585",1.03945133602764,0.0858365771051983,3.08111239399288,0.00351162066112901,0.991925032723052,-4.34250090399569
"CCL4L2",2.14187504960424,2.0667070060541,3.05285620498642,0.00379645521094566,0.991925032723052,-4.15466083587074
"LIMK2",0.455220115670981,8.07718713267398,3.03016736293239,0.00404072502871541,0.991925032723052,-3.77994385758953
"CGB7",-2.05536154635049,-3.15622076084407,-3.02233923352578,0.00412837029502661,0.991925032723052,-4.50791094483859
"CCL4L1",2.11561348230937,1.98395113169229,3.00562494187766,0.00432150634915495,0.991925032723052,-4.17712942017387
"TEPP",-1.81449761902817,-1.645794713215,-2.99368302995197,0.00446464666548434,0.991925032723052,-4.48109105666069
"NADK",0.461474510187148,7.16243138451407,2.99177372314782,0.00448793988315034,0.991925032723052,-3.82833926170616
"CCL3L3",2.61173225096563,1.25215299688122,2.97531792609813,0.00469346580890003,0.991925032723052,-4.229879595499
"IL10RB",0.364808992692898,6.4347049799376,2.94982982730685,0.00502925197539019,0.991925032723052,-3.88316017499536
"ARRB1",0.370044728077559,5.61521790180679,2.94278613500636,0.00512593100216366,0.991925032723052,-3.94612148128551
"NOS3",-0.87400253511144,3.466426720034,-2.93941551602164,0.00517280631425542,0.991925032723052,-4.17534788663727
"C17orf50",-1.86626065633439,-2.01642969243832,-2.9363319196745,0.00521604027835609,0.991925032723052,-4.4866748183916
"ETV4",-0.656500336166492,2.68965769094447,-2.93509521870825,0.00523347419581474,0.991925032723052,-4.23621820022916
"TNS3",0.673958376868753,3.72038639967246,2.92506693830025,0.00537686603451284,0.991925032723052,-4.10151918914323
"CCL3L1",2.57647450543332,1.29348320848378,2.92319454712862,0.00540404172425928,0.991925032723052,-4.23961018498426
"EFHD1",-2.24615821674347,0.357371488775057,-2.92272540567525,0.00541087084126025,0.991925032723052,-4.41894577183931
"MB21D1",0.720553618555051,0.914466532174411,2.91981872588177,0.00545336207868302,0.991925032723052,-4.32726712536477
"KCNJ15",0.871275262451691,5.20200827990529,2.91323632020382,0.00555073994614039,0.991925032723052,-3.97551579612952
"LOC729739",-2.56914268875023,-3.35862842708997,-2.91321136506484,0.00555111219001956,0.991925032723052,-4.51761604142457
"TMEM140",0.489761462458466,4.80404947465281,2.91157549370817,0.00557556453738356,0.991925032723052,-4.01097355521958
"NATD1",0.415418651890926,5.21911285524343,2.89663217319884,0.0058036256606428,0.991925032723052,-3.98910042254639
"MIR4786",-1.58257968101412,-5.01950126154317,-2.89525966277075,0.00582500267025788,0.991925032723052,-4.53447546642064
"GK3P",1.24347742082054,-1.63996603257474,2.89367400445049,0.00584979079546822,0.991925032723052,-4.44911493868536
"CORT",-0.911230905269026,0.697624158714716,-2.88795032923377,0.0059400870721174,0.991925032723052,-4.38843086402285
"CDKN2A",-0.69168981359997,3.53051032771493,-2.88794306259654,0.00594020253055699,0.991925032723052,-4.1716143838324
"RGS20",-1.4979637990896,-1.78759797307249,-2.88589703577065,0.00597279478141567,0.991925032723052,-4.48987246766896
"ANKRD34B",1.61485603201064,-2.44250323780178,2.88349844280445,0.00601121522933654,0.991925032723052,-4.46551617827576
"PKDCC",-1.3215571598112,-0.348619067135501,-2.87174782614551,0.00620278200827971,0.991925032723052,-4.43384558361131
"PMEL",-0.89431076272757,3.15500503892953,-2.86808107940082,0.00626371299827279,0.991925032723052,-4.23102435734057
"COL7A1",-1.22079873033084,3.41892482238266,-2.86737351297096,0.00627553465394398,0.991925032723052,-4.23226400655457
"ARHGEF25",-1.68630521095446,-3.49223597127266,-2.85688990991213,0.00645313839634727,0.991925032723052,-4.51609388627981
"MIB2",-0.538193970745296,4.71501079649323,-2.85377090804788,0.00650687284137508,0.991925032723052,-4.08021360097651
"DONSON",-0.636725126306398,3.61979142207581,-2.84677721765738,0.00662887594713423,0.991925032723052,-4.16744674529559
"C3orf70",1.36347861686138,0.673975400155496,2.83306214642576,0.00687432512352315,0.991925032723052,-4.34631819303817
"MIR4461",1.75781156325233,-1.64592235841381,2.82415450252203,0.00703823053203432,0.991925032723052,-4.42759913967131
"PIK3AP1",1.03477367154088,4.23276199135137,2.82164609500325,0.00708503672715181,0.991925032723052,-4.07632739535868
"LOC101929319",2.00397575321342,-2.32876833410979,2.82036561380457,0.00710904133706378,0.991925032723052,-4.44945441706426
"ACPP",0.722433063961705,3.30783284485926,2.81936037609833,0.0071279389210539,0.991925032723052,-4.17444067801534
"SCGB3A1",-1.75306734105128,3.39374111679686,-2.8177022537349,0.00715921201714916,0.991925032723052,-4.22156718999091
"CDHR1",-1.48491561036811,-2.25052592673305,-2.81545985018255,0.00720170743551595,0.991925032723052,-4.50184805415955
"B4GALNT4",-1.51298387410686,-1.65147973883319,-2.79762228088858,0.0075481684884132,0.991925032723052,-4.4899605456888
"GPRIN3",1.44960844866184,0.195578505678281,2.77990047579886,0.00790761818657564,0.991925032723052,-4.38271337395905
"LINC01605",-1.56043761316062,0.312276219037762,-2.77918254996359,0.00792250842890903,0.991925032723052,-4.43848524625597
"MIR646HG",1.56526719645769,-2.67009549848972,2.77822106972737,0.00794249079418548,0.991925032723052,-4.47894304656896
"MAB21L3",1.31687373849137,-0.803158407422802,2.77597350911448,0.00798938374551377,0.991925032723052,-4.41704480969831
"SOX10",-1.57022598935262,-1.95490513408752,-2.76253721940132,0.00827510208401278,0.991925032723052,-4.50187858458718
"SLC1A7",-1.98512964833528,-4.92105190150938,-2.76251495352432,0.00827558330471629,0.991925032723052,-4.53972571140258
"SHC2",-2.10495639913243,1.38374039539099,-2.76092184655752,0.00831008151582024,0.991925032723052,-4.39683019443432
"PRKCD",0.51501885603854,7.09500546644629,2.75796955929034,0.00837436404134041,0.991925032723052,-3.94687375447381
